   text	   data	    bss	    dec	    hex	filename
   3090	   1072	      0	   4162	   1042	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-sc18is602.ko
    968	    992	      0	   1960	    7a8	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-slave-time.ko
   3104	   1152	     16	   4272	   10b0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-dw-midpci.ko
  17731	   2328	      9	  20068	   4e64	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-scsiback.ko
   4868	   1540	      4	   6412	   190c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-gntalloc.ko
  11152	   1052	     16	  12220	   2fbc	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/pvcalls-front.ko
   8493	   1148	      0	   9641	   25a9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-privcmd.ko
  41816	   6113	     53	  47982	   bb6e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-pciback/xen-pciback.ko
   4525	    964	      0	   5489	   1571	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-evtchn.ko
   3203	    888	      0	   4091	    ffb	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xenfs/xenfs.ko
   3469	    884	      4	   4357	   1105	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/tmem.ko
  10618	   2304	      8	  12930	   3282	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/xen/xen-gntdev.ko
   6939	   1960	      0	   8899	   22c3	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-max77843.ko
   1926	   1096	      0	   3022	    bce	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-intel-int3496.ko
  15797	   3200	      0	  18997	   4a35	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-arizona.ko
   3674	   1480	      0	   5154	   1422	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-axp288.ko
   2952	   1016	      0	   3968	    f80	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-usb-gpio.ko
   5845	   1536	      4	   7385	   1cd9	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-rt8973a.ko
   1812	   1016	      0	   2828	    b0c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-adc-jack.ko
   7462	   1498	      0	   8960	   2300	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-max77693.ko
   1609	   1016	      0	   2625	    a41	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-max3355.ko
   4852	   1648	      4	   6504	   1968	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-sm5502.ko
   4533	   1792	      0	   6325	   18b5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-max14577.ko
   3946	   1256	      0	   5202	   1452	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/extcon/extcon-usbc-cros-ec.ko
